,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
150," Sunil Dutt
",https://www.imdb.com/name/nm0004570,"
    Actor, social activist and politician. Sunil Dutt wore many hats and excelled in a plethora of roles that came his way - both on and off screen. Born on June 6th, 1929, Sunil Dutt grew up as Balraj Dutt in a family that had survived the Partition of India. A student of Mumbai's Jai Hind college, he first started off as radio show host and celebrity ...            
See full bio »
            
","
June 6, 
     
1930","https://m.media-amazon.com/images/M/MV5BNzM0OTA3MDAxN15BMl5BanBnXkFtZTgwMzg2OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Gemini
","

    Prior to his death, he was youth affairs and sports minister with the ruling Congress coalition government. He was a popular politician and one of the first actors from Bombay's huge movie industry to enter politics. He was elected five times as a member of parliament.                    
See more

                    »
        ",,,"

5' 10"" (1.78 m)        ","

            Mr. Sunil Dutt | Dutt Sahab
        "
151," Sharman Joshi
",https://www.imdb.com/name/nm0430817,"
    Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for 3 Idiots (2009), Rang De Basanti (2006) and Golmaal: Fun Unlimited (2006). He has been married to Prerna Chopra since 2000. They have three children.            
See full bio »
            
","
April 28, 
     
1979","https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,,"

Taurus
","

    His father acted in the film Sholay (1975).                    
See more

                    »
        ",,,"

5' 9"" (1.75 m)        ","

            Sherman Joshi
        "
152," Shashi Kapoor
",https://www.imdb.com/name/nm0004434,"
    Shashi Kapoor is one of the leading actors of Indian cinema having appeared in 160 movies - 12 in English and 148 in Hindi. He has appeared in 148 Hindi films - of them played the solo lead hero in 61 films, was lead hero in 53 released multi star cast Hindi films, 2 unreleased multi star film and 21 Hindi films had him in supporting role, worked ...            
See full bio »
            
","
March 18, 
     
1938","https://m.media-amazon.com/images/M/MV5BNTcyNDUwNzEzNl5BMl5BanBnXkFtZTgwOTMxMjMzOTE@._V1_UY317_CR53,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Between 1974-1977, 8 of 18 Shashi Kapoor's solo hero films flopped and thus Shashi also started accepting multi star cast films like rest of the Hindi actors like Dharmendra, Jeetendra, Amitabh. Other than Rajesh, rest of the Hindi actors when their films as solo heroes films were not successful between 1970-1977 started being part more of 2 or 3 hero films from 1970 and Shashi too thus started ...                    
See more

                    »
        ",,"

    [In 2014, on the topic of casting couch in the 1960s] You've no idea how Dharmendra and Sanjay Khan were blackmailed by senior actresses when they were newcomers. I'm very grateful to Nanda that she was extremely gracious and decent with me.                    
See more

                    »
        ","

5' 9"" (1.75 m)        ","

            Padma Bhushan Shashi Kapoor | Sashi Kapoor | Shashi Raj | Shashiraj | Shashi
        "
153," Smita Patil
",https://www.imdb.com/name/nm0665599,"
    Smita Patil was born on October 17, 1955 in Pune, State of Bombay, India. She was an actress, known for Bhumika (1977), Aaj Ki Awaz (1984) and Mirch Masala (1987). She was married to Raj Babbar. She died on December 13, 1986 in Bombay, Maharashtra, India.            
See full bio »
            
","
October 17, 
     
1955","https://m.media-amazon.com/images/M/MV5BMTU3MTUyMjI4OF5BMl5BanBnXkFtZTgwNDgxNzE4MDE@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,,"

Libra
","

    Was involved with producer Johnny Bakshi.                    
See more

                    »
        ",,,"

5' 6"" (1.68 m)        ","

            Late Smita Patil | Smita
        "
154," Surekha Sikri
",https://www.imdb.com/name/nm0797773,"
    Surekha Sikri was born on April 19, 1945 in New Delhi, British India. She is an actress, known for Badhaai ho (2018), Balika Vadhu (2008) and Dev.D (2009).            
See full bio »
            
","
April 19, 
     
1945","https://m.media-amazon.com/images/M/MV5BYzI0NGU4NDQtMjZiZS00Mjc2LTk3Y2ItY2NhYmYwOTEyZjQyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",,,"

Aries
","

    Her sister Parveen was married to actor Naseeruddin Shah in 1970. Their daughter is actress Heeba Shah.        ",,,,"

            Surekha Sikri Rege | Surehka Sikri | Surekha Sikri-Rege
        "
155," Sharman Joshi
",https://www.imdb.com/name/nm0430817,"
    Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for 3 Idiots (2009), Rang De Basanti (2006) and Golmaal: Fun Unlimited (2006). He has been married to Prerna Chopra since 2000. They have three children.            
See full bio »
            
","
April 28, 
     
1979","https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,,"

Taurus
","

    His father acted in the film Sholay (1975).                    
See more

                    »
        ",,,"

5' 9"" (1.75 m)        ","

            Sherman Joshi
        "
156," Shashank Arora
",https://www.imdb.com/name/nm3508604,"
    Born Shashank Sunny Arora in New Delhi, India, on February 21, 1989, Shashank Arora was interested in music and theatre from a young age. After finishing high school in early 2006, he left for Montreal, Canada to study cinema and music. While there, he briefly joined a street theatre group formed by human rights activists. In 2008, he moved to ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMTcxODc3NzkxOF5BMl5BanBnXkFtZTgwMzUwOTU3MTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,"

            Sunny
        ",,,,,"

5' 9"" (1.75 m)        ",
157," Shreyas Talpade
",https://www.imdb.com/name/nm1662277,"
    Shreyas Talpade was born on January 27, 1976 in Bombay, Maharashtra, India. He is an actor and director, known for Om Shanti Om (2007), Iqbal (2005) and Dor (2006).            
See full bio »
            
","
January 27, 
     
1976","https://m.media-amazon.com/images/M/MV5BMjZhOTQzNTEtNGY4NS00ZmQxLThkMDEtM2M4NDVjMjc0MWNlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR17,0,214,317_AL__QL50.jpg",,,"

Aquarius
","

    Starred in the shelved film UTV Spotboy's Season's Greetings (2009).Starring Tabu, Sohail Khan, Shreyas Talpade,Jaaved Jaffrey,Aashish Chaudhary,Vatsal Seth,Amrita Arora,Shilpa Shukla,Saurabh Shukla,Arav Choudhry,Music by Pritam ,Produced by UTV Motion Pictures, Directed by Vicky Chopra. Season's Greetings was the story of one whole day filled with five male youngsters, and three female leads. ...                    
See more

                    »
        ",,,"

5' 7"" (1.7 m)        ",
158," Shernaz Patel
",https://www.imdb.com/name/nm1617909,"
    Shernaz Patel is an actress, known for Black (2005), Guzaarish (2010) and Talaash (2012).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BNTBjN2U2MTgtZjhhMC00YjE4LWI5ODQtN2EwYmJhNTU4MDdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR22,0,214,317_AL__QL50.jpg",,,,"

    Her mother Ruby Patel acted in the film Percy.                    
See more

                    »
        ",,,,"

            Shenaaz Patel | Shenaz Patel
        "
159," Seema Biswas
",https://www.imdb.com/name/nm0084443,"
    Seema Biswas was born on January 14, 1965 in Nalbari, Assam, India. She is an actress, known for Bandit Queen (1994), Water (2005) and Company (2002).            
See full bio »
            
","
January 14, 
     
1965","https://m.media-amazon.com/images/M/MV5BMTczMTgyOTkyOV5BMl5BanBnXkFtZTYwNTQ1MDA0._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,,"

Capricorn
",,,,,
160," Sachin Khedekar
",https://www.imdb.com/name/nm0451561,"
    Sachin Khedekar was born on March 14, 1965 in Mumbai, Maharahstra, India. He is known for his work on 13B: Fear Has a New Address (2009), Netaji Subhas Chandra Bose: The Forgotten Hero (2005) and Maattrraan (2012). He has been married to Jalpa Khedekar since December 19, 1993. They have two children.            
See full bio »
            
","
March 14, 
     
1965","https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,,"

Pisces
",,,,,
161," Sunny Deol
",https://www.imdb.com/name/nm0219971,"
    Ajay Singh Deol popularly known as Sunny Deol was born to actor Dharmendra and Prakash Kaur. Sunny began acting with super hit film Betaab (1983) which was a love story also featuring another new comer Amrita Singh; this film was a major success and then he goes on making films which portrayed him as Bollywood's best action hero. There is Arjun (...            
See full bio »
            
","
October 19, 
     
1957","https://m.media-amazon.com/images/M/MV5BMjEwOTA2MjMwMl5BMl5BanBnXkFtZTcwODc3MDgxOA@@._V1_UY317_CR4,0,214,317_AL__QL50.jpg","

    Commercial for Diwali Safety Campaign - Leicestershire Fire Department, UK.        ",,"

Libra
","

    Starred in the shelved film Swaranmukhi with -Kaishma Kapoor , Produced and Directed by K.S .Adhyaman, in 1998.                    
See more

                    »
        ",,,"

5' 7½"" (1.71 m)        ","

            Ajay Singh Deol
        "
162," Sudesh Lehri
",https://www.imdb.com/name/nm3544809,"
    Sudesh Lehri is an actor, known for Jai Ho (2014), Ready (2011) and Dard Pardesaan De (2000).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BNjVhOGZjYzEtM2Y3MS00OTAyLTg5Y2QtZTQzMDVkZWQyYTI2L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",,,,,,,,"

            Sudesh Lehari
        "
163," Soumitra Chatterjee
",https://www.imdb.com/name/nm0154164,"
    Soumitra Chatterjee was born on January 19, 1935 in Krishnanagar, Bengal Presidency, British India as Soumitra Chattapadhaya. He is an actor, known for Apur Sansar (1959), Aranyer Din Ratri (1970) and Podokkhep (2006). He is married to Deepa Chatterjee.            
See full bio »
            
","
January 19, 
     
1935","https://m.media-amazon.com/images/M/MV5BMjI5Mjk4NDc3Ml5BMl5BanBnXkFtZTgwMjczMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg","

    Lectured on ""Acting in Cinema"" in 1999, in the series ""Nandini Sanyal Smarak Sanglap"" organised by Nandini Sanyal Smarak Committee, in memory of Ms. Nandini Sanyal, a young and talented alumnus of Film & Television Institute of India, Pune.        ",,"

Capricorn
","

    Grandfather of Ranodeep Bose.                    
See more

                    »
        ",,,,"

            Soumitra Chatterji | Saumitra Chattopadhyay | Soumitra Chattopadhyay | Soumitro Chattopadhyay | Soumitra Chattopadhyaya | Saumitra Chottopadhya
        "
164," Saeed Jaffrey
",https://www.imdb.com/name/nm0006762,"
    Saeed Jaffrey was born in Maler Kotla, Punjab, India. He was born on the 8th of January 1929. He attended University of Allahabad where he completed his post-graduate degree in history. He also attended the Staff Training Institute of All India Radio. He started his career in drama, as the founder of his own English theatre company called the ...            
See full bio »
            
","
January 8, 
     
1929","https://m.media-amazon.com/images/M/MV5BMTU4NTAzNTIxMl5BMl5BanBnXkFtZTcwMjkyNzg5Nw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","

    He acted in Paul Scott and Ken Taylor's play, ""Staying On,"" at the Richmond Theatre in London, England with Prunella Scales and Richard Johnson in the cast.                    
See more

                    »
        ",,"

Capricorn
","

    Has appeared in Tandoori Nights (1985), Masala (1991), and Chicken Tikka Masala (2005), titles which are all references to ways of preparing food, most commonly chicken.                    
See more

                    »
        ",,,"

5' 5"" (1.65 m)        ","

            Saeed Jaferey | Saeed Jafferey | Saeed Jafferi | Saeed Jaffery | Sayeed Jaffery | Saeed and Madhur Jaffrey | Sayed Jaffrey | Sayeed Jaffrey | Saeed Jaffry | Saeed Jafrey | Saeed Jaffrey OBE
        "
165," Shivaji Ganesan
",https://www.imdb.com/name/nm0304262,"
    Tamil superstar from a poor family in Tamil Nadu, India. His father worked on the railways. On the day of his birth his father, Chiniah Pillai, follower of Mahatma Gandhi, was jailed for participating in the Independence movement in Nellikuppam (Tamil Nadu, India). He was frequently in and out of jail, and was raised by his mother, Rajamani Ammal. ...            
See full bio »
            
","
October 1, 
     
1928","https://m.media-amazon.com/images/M/MV5BMmI2Nzk4NWQtOTAxNi00ZTIxLTljNDktZDJlZDQ2NDRiODJjXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR25,0,214,317_AL__QL50.jpg",,"

            The Marlon Brando of South Indian Cinema
        ","

Libra
","

    He could only estimate the number of films he appeared in - 170 to 300.                    
See more

                    »
        ",,,,"

            Shivaji Ganasan | Nadigar Thilagam Sivaji Ganesan | Padmashri Shivaji Ganesan | Sivaji Ganesan | Viluppuram Chinnaiahpillah Ganesan | Shivaji Ganeshan | Thilagam Nadigar | Sivaji
        "
166," Sharmila Tagore
",https://www.imdb.com/name/nm0846616,"
    A Bengali actress who achieved success young, Sharmila appeared in numerous Bengali classics before making the jump to Hindi cinema, which first made her a romantic actress and later a legendary actress thanks to her intense films opposite Superstar Rajesh Khanna. A distant relative of poet Rabindranath Tagore, she is also the wife of His Highness...            
See full bio »
            
","
December 8, 
     
1946","https://m.media-amazon.com/images/M/MV5BMTg4Njc5MzUzNF5BMl5BanBnXkFtZTgwOTYzMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    She worked with Sadhana in Waqt (1965) and they both did their dubbing together. She said she heard Sadhana gasp, when she saw how her appearance had changed from one frame to the next because of her thyroid disorder. They both became related to each other many years later when Sharmila's son Saif Ali Khan married Kareena Kapoor whose mother Babita Kapoor is Sadhana's niece.                    
See more

                    »
        ",,,"

5' 2"" (1.57 m)        ","

            Ayesha Sultana Khan
        "
167," Sheeba Chaddha
",https://www.imdb.com/name/nm0149441,"
    Sheeba Chaddha was born in 1972 in Delhi, India. She is an actress, known for Talaash (2012), Dil Se.. (1998) and Gully Boy (2019).            
See full bio »
            
","
1972","https://m.media-amazon.com/images/M/MV5BNzc0NWJjMjQtM2VhOC00MDAxLWE5ZjItZTNlZDFkYjE1YjE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR49,0,214,317_AL__QL50.jpg",,,,"

    Often confused with actress Sheeba (Suryavanshi) due to them both having the same name.        ",,,,"

            Sheeba Chadha
        "
168," Sridevi
",https://www.imdb.com/name/nm0004437,"
    Sridevi was born on August 13, 1963 in her father's hometown of Sivakasi, Tamil Nadu, India. Her mother was from Tirupati, Andhra Pradesh. So Sridevi grew up speaking Telugu and Tamil. She has a sister named Srilatha and a stepbrother named Satish. Her dad passed away during the year 1991, while her mom died during 1997. She started her career at a...            
See full bio »
            
","
August 13, 
     
1963","https://m.media-amazon.com/images/M/MV5BMTQyMjg4Mzk2M15BMl5BanBnXkFtZTcwMjE0MTg2OA@@._V1_UY317_CR27,0,214,317_AL__QL50.jpg",,"

            Indian cinema's first female superstar
                
See more

                »
        ","

Leo
","

    Has two daughters named Jhanvi (b. 1997) and Khushi (b. November 5, 2000), both named after the heroines in husband Boney Kapoor's films Judaai (1997) and Hamara Dil Aapke Paas Hai (2000).                    
See more

                    »
        ",,"

    In Hindi, my favorite roles were in Naya Kadam, Masterji, Mr. India, Lamhe, Chaalbaaz, Laadla, Mr. Bechara, Judaai.That too remember Naya Kadam, Masterji, Laadla, Judaai, Mr. Bechara were remakes of Tamil films with different heroine. But in Tamil films, the list is longer. All the films I did in Tamil were really strong ones - every film I did with K.Balachander, Bharati Raja, Balu Mahendra and ...                    
See more

                    »
        ","

5' 6"" (1.68 m)        ","

            Sridevi Ayyapan | Sri Devi | Sreedevi Kapoor | Sridevi Boney Kapoor | Sridevi Kapoor | Shreedevi | Shridevi | Sreedevi | Baby Sridevi
        "
169," Salman Khan
",https://www.imdb.com/name/nm0006795,"
    Born on December 27, 1965 Salman Khan is the son of the legendary writer Salim Khan, who penned many super-hits in the yesteryear's like Sholay (1975), Deewaar (1975), and Don (1978). Salman started his acting carrier in 1988 by doing a supporting role in the movie Biwi Ho To Aisi (1988). The following year he had the leading role in the box ...            
See full bio »
            
","
December 27, 
     
1965","https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","

    TV Commercial for Tiger Biscuits.        ","

            Muscle Khan
                
See more

                »
        ","

Capricorn
","

    Was signed for Aamir Khan's role in Ghajini, but he opted out.                    
See more

                    »
        ","

    Removing his shirt                    
See more

                    »
        ","

    The only person I have hurt is myself.                    
See more

                    »
        ","

5' 6½"" (1.69 m)        ","

            Salman Bhai and family
        "
170," Saurabh Shukla
",https://www.imdb.com/name/nm0795661,"
    Shukla's family left Gorakhpur for Delhi when he was two years old. After completing his schooling, he graduated from Khalsa College, Delhi. His professional career began in 1984 with his entry into theater. Shukla began serious theater in 1986 with roles in plays like A View From The Bridge (Arthur Miller), Look Back In Anger (John Osborne), ...            
See full bio »
            
","
March 5, 
     
1963","https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_UY317_CR28,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Was to direct the shelved film S.D. Productions JANEMAN JAAN LE TU (2002) Starring Amod Sinha (son of producer Vinay Sinha) and Sai Deodhar (daughter of director Shrabani (SILSILA HAI PYAR KA) Deodhar and cinematographer Debu Deodhar) in the lead along with Rajat Kapoor, Aditya Shrivastava, Vijay Raj and Om Puri. Music is by Anand-Milind..                    
See more

                    »
        ",,,,"

            Saurab Shukla | Shaurabh Shukla | Sourabh Shukla
        "
171," Sanjay Dutt
",https://www.imdb.com/name/nm0004569,"
    Sanjay Dutt, son of Nargis and Sunil Dutt, was first featured in Rocky (1981), the movie was a box office hit. Sanjay's personal life was exacerbated by drug problems, and he later lost his wife Richa Sharma, to cancer. He was also arrested for having illegal weapons, and was imprisoned. After his release, he appeared in three consecutive hits; ...            
See full bio »
            
","
July 29, 
     
1959","https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,"

            The Nayak of Hindi Cinema
                
See more

                »
        ","

Leo
","

    Started a production company Foursome Production Entertainment with Ajay Devgan, Sunil Shetty and Nitin Manmohan. They had planned a huge budgeted war film titled ""Vande Mataram"". Starring Sanjay Dutt , Ajay Devgan and Sunil Shetty. The film was based on the India/Bangladesh war of 1971. After JP Duttas film Line of Control flopped, they shelved the film.                    
See more

                    »
        ","

    The orignal Bad Boy of Bollywood                    
See more

                    »
        ","

    About Munna Bhai M.B.B.S. (2003): ""It's a kind of satire on the medical profession, but at the same time, it's a fun film, though not a slapstick comedy. The jokes and dialogs aren't written to evoke a forced laughter; I'd say it's situational. Munnabhai is comical because of the way he is. But at the core, it's a very emotional film. It will be a really fantastic film. The script is amazingly ...                    
See more

                    »
        ","

5' 10"" (1.78 m)        ","

            Master Sanjay Dutt | Shri Sanjay Dutt | Sunjay Dutt
        "
172," Sanjeev Kumar
",https://www.imdb.com/name/nm0474876,"
    Harihar Jariwala a.k.a. Sanjeev Kumar was born in a Gujrati family in 1938. He portrayed many roles irrespective of the age or the type of chararcter. The actor ballooned in size in later years of his life due to the gastronomical pleasures he had inherited by sleeping in a kitchen while he was a child (which became the cause of his death in 1985 ...            
See full bio »
            
","
July 9, 
     
1938","https://m.media-amazon.com/images/M/MV5BZmE5YTIwODYtMTA2OC00ZDg1LTk3NmItMGI1NzhjNTZiNjIyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR31,0,214,317_AL__QL50.jpg",,"

            Doctor Kumar
                
See more

                »
        ","

Cancer
","

    Starred in the shelved movie Vijayshree Pictures ""C I D Inspector""(1975).Starring Ashok Kumar,Sanjeev Kumar,Sulakshna Pandit, Farida Jalal,Music by Kalyanji Anandji, Directed by R. Jhalani.                    
See more

                    »
        ","

    Quiver in his voice        ",,"

5' 8"" (1.73 m)        ","

            S. Kumar | Sanjiv Kumar | Shri Sanjeev Kumar | Sanjay | Sanjeev
        "
173," Sudeep
",https://www.imdb.com/name/nm1679372,"
    Sudeep is an Indian film actor, director, producer, screenwriter, playback singer, anchor, and cricketer who works primarily in Kannada cinema. He won the Filmfare Award for Best Actor - Kannada for three consecutive years for his films Huchcha (2001), Nandhi (2002) and Swathi Muthu (2003). Since 2013, he is hosting the television reality show ...            
See full bio »
            
","
September 2, 
     
1973","https://m.media-amazon.com/images/M/MV5BOWFjZGYxZDMtYTBhYy00YWVkLTk2NDUtMmE2NTAyM2Q0OTMyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","

    Premada Kadambari (Udaya TV Daily Serial Kannada)- Actor                    
See more

                    »
        ","

            Deepu
                
See more

                »
        ","

Virgo
","

    Won the Bangalore Times Award in Best Actor (2011) category for his role in ""Vishnuvardhana (2011)"".                    
See more

                    »
        ","

    Star Sign : Sagittarius        ",,"

5' 11"" (1.8 m)        ","

            Sudeep Sanjeev | Abhinaya Chakravarthy Kichcha Sudeep | Abhinaya Chakravarthy Sudeep | Kicchaa Sudeep | Kiccha Sudeep | Kicha Sudeep | Kichcha Sudeep | Kichha Sudeep | Abhinaya Chakravarthy Kala Bhooshana Kichcha Sudeepa | Abhinaya Chakravarthy Kechchedeya Kichcha Sudeepa | Abhinaya Chakravarthy Kichcha Sudeepa | Kiccha Sudeepa | Kicha Sudeepa | Kichcha Sudeepa | Sudeepa
        "
174," Sunil Shetty
",https://www.imdb.com/name/nm0792911,"
    Sunil Shetty made his debut in 1992 with Balwaan (1992), which was not a major hit. Yet his great acting skills got noticed. For two years success eluded him until action thriller Mohra (1994) came along in 1994. Then followed his success streak with a comical film Gopi Kishan (1994) in which he played a dual role. The movie became a blockbuster ...            
See full bio »
            
","
August 11, 
     
1961","https://m.media-amazon.com/images/M/MV5BODUwMzUyNTUxMl5BMl5BanBnXkFtZTcwNDM2ODIyOA@@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",,"

            Anna
        ","

Leo
","

    Starred in the shelved film ""Jaahil"" (1995). Starring Sunil Shetty, Raveena Tandon. Written by Kader Khan. Produced by Farook, Aslam, Santosh. Directed by Sanjay Khanna. The film was being directed by Kader Khan and had Amitabh Bachchan in the lead. This was in the early 80's. The film got shelved when Amitabh got injured. Raj Sippy attempted to restart the film with Jackie Shroff in 1985. It got...                    
See more

                    »
        ",,,"

5' 8"" (1.73 m)        ","

            Mr. Sunil Shetty | Suneil Shetty | Suniel Shetty | cameo
        "
175," Tiger Shroff
",https://www.imdb.com/name/nm5899377,"
    Tiger Shroff was born on March 2, 1990 in Mumbai, India as Jai Hemant Shroff. He is an actor, known for Heropanti (2014), A Flying Jatt (2016) and Baaghi (2016).            
See full bio »
            
","
March 2, 
     
1990","https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","

    Dubbing for the Hindi version of Spider-Man: Homecoming                    
See more

                    »
        ",,"

Pisces
","

    A major WWE and UFC fan.                    
See more

                    »
        ",,,"

5' 7"" (1.7 m)        ",
176," Tom Alter
",https://www.imdb.com/name/nm0022758,"
    Tom Alter, the son and grandson of American Presbyterian missionaries who first came to India in 1916, grew up in north India in the towns of Rajpur and Mussoorie, and studied at Woodstock School. It was while teaching at a school in Jagadhri, Haryana in the early 1970s that Alter picked honed his Hindi and fell in love with the movies, in specific...            
See full bio »
            
","
June 22, 
     
1950","https://m.media-amazon.com/images/M/MV5BMjk1NDI0ZjEtMDMwOS00ZTY5LTk3NTEtODYxZWZlNTE4OTZmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    Speaks fluent Hindi and English                    
See more

                    »
        ",,,,"

            Tom Altar | Thomas Beach Alter | Tom Alters | Tom Altor | Alter Tom
        "
177," Tinnu Anand
",https://www.imdb.com/name/nm0025627,"
    Tinnu Anand is an Indian actor and director from Bollywood, who is most known as the director of Amitabh Bachchan's movies including, Kaalia (1981), Shahenshah (1988), Main Azaad Hoon (1989) and Major Saab (1998).He is the son of veteran writer Inder Raj Anand and uncle of director Siddharth Anand. Anand recently portrayed an important role in ...            
See full bio »
            
","
May 4, 
     
1953","https://m.media-amazon.com/images/M/MV5BZjM4OWEyOWItNmU0Yy00MjQyLTkyNzYtOTQzNzA1ZTJmOTY0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",,,"

Taurus
","

    In 1991 was planning to make a film titled Ghost Mera Dost.                    
See more

                    »
        ",,,"

5' 6½"" (1.69 m)        ","

            Shri V. R. Anand | Tinu Anand | V. R. Anand | Verinder Raj Anand
        "
178," Tabu
",https://www.imdb.com/name/nm0007102,"
    Tabu is an Indian actress. She has mainly acted in Hindi films, though she has also starred in Telugu, Tamil, Malayalam, Marathi and Bengali-language films, as well as one American film. She has won the National Film Award for Best Actress twice, and holds the record for the most wins of Filmfare's Critics Award for Best Female Performer, with ...            
See full bio »
            
","
November 4, 
     
1970","https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_UY317_CR1,0,214,317_AL__QL50.jpg",,,"

Scorpio
","

    Father Jamal Hashmi remarried a lady named Hasina Hashmi. They had two daughters . Haya Hashmi born in 1985 and Sana Hashmi born in 1986. Hasina's brothers were managers at Jamal Hashmi's coffee shop.                    
See more

                    »
        ",,,"

5' 6¼"" (1.69 m)        ","

            Tabbu
        "
179," Tigmanshu Dhulia
",https://www.imdb.com/name/nm0223606,"
    Tigmanshu Dhulia is a director and actor, known for Gangs of Wasseypur (2012), Paan Singh Tomar (2012) and Saheb Biwi Aur Gangster (2011).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMmVkZTMxMTgtNjk3Ny00Yzc4LWFhZWYtMjBhYTJjN2EwMDViXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,,,"

    Cousin of Abha Dhuliya.                    
See more

                    »
        ",,,,
180," Usha Nadkarni
",https://www.imdb.com/name/nm0618936,"
    Usha Nadkarni is an actress, known for Rustom (2016), Pavitra Rishta (2009) and Vaastav: The Reality (1999).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BNDRiOGQ0YWYtNmE0MC00NWM4LTg5YTMtNzAyNjQyZGVkOThjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,,,,,,,
181," Upasna Singh
",https://www.imdb.com/name/nm0802251,"
    Upasna Singh was born on June 29, 1975 in Kapurthala, Punjab, India. She is an actress, known for Jatt & Juliet (2012), Disco Singh (2014) and Wattanaan Ton Door (2008). She has been married to Neeraj Bhardwaj since 2012.            
See full bio »
            
","
June 29, 
     
1975","https://m.media-amazon.com/images/M/MV5BYzkzNGJjNGMtMTcyMy00YmQ5LTgwMmItNzk4MjBkZWJhMTg1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    Starred in the shelved movie Chandra Films Internationals ""Good Bye Bombay""(1992) Starring Anup Jalota,Upaasna Singh, Sanjeeva, Music by Anup Jalota,Directed Gopal Krishna.                    
See more

                    »
        ",,,"

5' 5"" (1.65 m)        ","

            Upasana Singh | Upasna
        "
